"course_id","category_id","category_name"
"834","104","Inglés"
"835","101","Cambio Climático"
"836","101","Cambio Climático"
"837","3","Cursos Vocacionales"
"838","3","Cursos Vocacionales"
"839","12","Alfabetización digital"
"840","12","Alfabetización digital"
"842","12","Alfabetización digital"
"854","128","2023"
"857","128","2023"
"861","105","STEAM"
"862","105","STEAM"
"864","105","STEAM"
"865","3","Cursos Vocacionales"
"866","3","Cursos Vocacionales"
"867","3","Cursos Vocacionales"
"868","3","Cursos Vocacionales"
"869","3","Cursos Vocacionales"
"870","3","Cursos Vocacionales"
"871","3","Cursos Vocacionales"
"872","3","Cursos Vocacionales"
"873","3","Cursos Vocacionales"
"874","3","Cursos Vocacionales"
"875","3","Cursos Vocacionales"
"876","3","Cursos Vocacionales"
"877","3","Cursos Vocacionales"
"878","3","Cursos Vocacionales"
"881","128","2023"
"882","128","2023"
"883","128","2023"
"884","128","2023"
"885","128","2023"
"886","128","2023"
"887","128","2023"
"888","128","2023"
"889","128","2023"
"891","128","2023"
"892","128","2023"
"893","128","2023"
"894","128","2023"
"895","128","2023"
"904","115","Cohorte 1-2024"
"905","115","Cohorte 1-2024"
"906","115","Cohorte 1-2024"
"907","115","Cohorte 1-2024"
"908","3","Cursos Vocacionales"
"909","115","Cohorte 1-2024"
"910","115","Cohorte 1-2024"
"911","115","Cohorte 1-2024"
"912","116","Cohorte 2-2024"
"913","117","Cohorte 3- 2024"
"914","118","Cohorte 4-2024"
"915","119","Cohorte 5-2024"
"916","120","Cohorte 6-2024"
"917","116","Cohorte 2-2024"
"918","117","Cohorte 3- 2024"
"919","118","Cohorte 4-2024"
"920","119","Cohorte 5-2024"
"921","120","Cohorte 6-2024"
"922","116","Cohorte 2-2024"
"923","117","Cohorte 3- 2024"
"924","118","Cohorte 4-2024"
"925","119","Cohorte 5-2024"
"926","120","Cohorte 6-2024"
"927","116","Cohorte 2-2024"
"928","117","Cohorte 3- 2024"
"929","118","Cohorte 4-2024"
"930","119","Cohorte 5-2024"
"931","120","Cohorte 6-2024"
"932","116","Cohorte 2-2024"
"933","117","Cohorte 3- 2024"
"934","118","Cohorte 4-2024"
"935","119","Cohorte 5-2024"
"936","120","Cohorte 6-2024"
"937","116","Cohorte 2-2024"
"938","117","Cohorte 3- 2024"
"939","118","Cohorte 4-2024"
"940","119","Cohorte 5-2024"
"941","120","Cohorte 6-2024"
"942","116","Cohorte 2-2024"
"943","117","Cohorte 3- 2024"
"944","118","Cohorte 4-2024"
"945","119","Cohorte 5-2024"
"946","120","Cohorte 6-2024"
"953","3","Cursos Vocacionales"
"972","101","Cambio Climático"
"973","101","Cambio Climático"
"974","101","Cambio Climático"
"975","3","Cursos Vocacionales"
"977","3","Cursos Vocacionales"
"979","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"980","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"981","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
"982","127","Diplomado Para el Desarrollo de Habilidades de Emprendimiento de Mujeres Modalidad Presencial "
